num,Name,localite,code_agence,succursale,address,phone,fax,code_wil,lat,lon
68,16-Alger,Ouled Fayet,760,Bouzaréah (600),"Cooperative El Mostakbal lots N° 01, actuellement cite Mohamed Boudiaf N° 03, Ouled Fayet - Alger",0560 92 75 30 / 0560 92 75 32,023 32 45 64,16,36.739689,2.948404
69,16-Alger,Bab Ezzouar,765,Chéraga (200),"Cité El Djorf, Bt. 57 C N° 02, Baba Ezzouar - Alger",021 24 82 96,021 24 82 96,16,36.72242,3.176618
70,16-Alger,Bir Khadem,770,Bouzaréah (600),"Cité 194 logements, Bt. 07 N°20, Texeraine - Alger",021 40 20 09,021 40 20 09,16,36.7263986036983,3.02921667655236
71,16-Alger,EL Biar,781,Bouzaréah (600),"72, Boulevard Bougara, El biar - Alger",021 92 84 15 ,021 92 84 15 ,16,36.766171,3.03674
72,16-Alger,Alger Centre,785,Bouzaréah (600),"1, Rue Didouche Mourad - Alger",023 49 24 51,023 49 24 53,16,36.771292,3.057282
73,16-Alger,Hussein-Dey,796,Chéraga (200),"71, Rue Djenan Ben Danoune, Hussein Dey - Alger ",023 70 93 05,023 70 93 05,16,36.734531,3.097918
74,16-Alger,Bab Ezzouar,797,Chéraga (200),"Cité 1577 logts., Bt. 15 S2, 05 Juillet, Bab Ezzouar - Alger",023 92 86 78,023 92 86 78,16,36.715754,3.188243
75,16-Alger,Reghaïa,799,Chéraga (200),"Cité Ahmed Faoussi, Reghaia - Alger",023 74 66 07,023 74 66 07,16,36.739458,3.356079
76,16-Alger,Kouba,727/02,Chéraga (200),"Cité 302 Logements, Haï El Badr, Bt. A21 N° 16 - Alger",023 88 51 20,,16,36.72185,3.1048
77,16-Alger,Bab El Oued,767/01,Bouzaréah (600),"18, Bouzid Ezzine, Oued Koriche, Bab El Oued - Alger",023 05 10 76,023 05 10 76,16,36.7661683371812,3.02937185625096
78,16-Alger,,767/03,Bouzaréah (600),Bouzaréah - Alger,,,16,36.651732,2.769685
79,16-Alger,Douira,767/04,Bouzaréah (600),"N° 14 C, Rue des frères Larbi BEN M'HIDI, Douira - Alger",023 32 80 69,023 32 80 69,16,36.66889920708,2.94430799735146
80,16-Alger,,767/05,Bouzaréah (600),Bouzaréah - Alger,,,16,36.6444299934563,2.68963532723661
81,17-Djelfa,Djelfa,631,Bouzaréah (600),"Cité Wiam, BT. N° 30 - Djelfa",027 92 61 55,027 92 61 54,17,34.66755,3.275673
82,18-Jijel,Jijel,507,Constantine (500),"Centre Commercial, Rue Larbi Ben M’Hidi - Jijel",034 47 12 27,034 47 56 28,18,36.820369,5.768548
83,18-Jijel,Jijel,724,Constantine (500),"05, Avenue Emir Abdelkader - Jijel",034 47 11 90,034 47 11 90,18,36.824137,5.766731
84,18-Jijel,El Milia,778,Constantine (500),"34, Rue de l'ALN, El Milia - Jijel",034 52 67 95,034 52 67 95,18,36.7498562,6.2728051
85,19-Sétif,Sétif,506,Constantine (500),"Cité Financière, Boulevard Port Said - Sétif",036 82 56 90 / 036 82 56 87,036 82 56 88,19,36.194421,5.411657
86,19-Sétif,El Eulma,511,Constantine (500),"Cité des 800 logements, locaux N° 33 et 06 , El Eulma - Sétif",036 48 12 60,036 48 12 60,19,36.15301,5.70222
87,20-Saida, Saida,407,Oran (400),"N° 08 Zaouia, Boulevard Mouloud Feraoun - Saida",048 41 24 45 / 048 41 25 20,048 41 25 20,20,34.8283967124531,0.1527288636635
88,21-Skikda,Béni Malek ,304,Annaba (300),"Cité des Frères KHALDI, Béni Malek - Skikda                                                                                                                                                           ",038 76 27 73 / 038 76 10 77 / 038 76 32 10,038 76 28 96,21,36.881184,6.89702
89,21-Skikda,Skikda,315,Annaba (300),"01, Rue Mohamed Nadir - Skikda",038 75 75 00,038 75 75 77,21,36.882851,6.906431
90,21-Skikda,Skikda,316,Annaba (300),"Cité 30 Logts., Mordj Dib,BT. MD 01, les Platanes - Skikda",038 93 85 90,038 93 86 09,21,36.7596787,6.8945243
91,21-Skikda,Skikda,317,Annaba (300),"Rue Omar Tayeb, Ramdane Djamel code 21425 - Skikda",038 94 11 72,038 94 11 72,21,36.753471,6.89818
92,21-Skikda,El Harrouche,318,Annaba (300),"Cité 164 Logements, Rue Bachir Boukadoum, El Harrouche - Skikda",038 79 10 90,038 79 29 29,21,36.651308,6.834195
93,21-Skikda,Azzaba,319,Annaba (300),"Rue du 1er Novembre 1954, Azzaba - Skikda                      ",038 96 97 97,038 96 98 98,21,36.742106,7.108976
94,21-Skikda,Skikda,706,Annaba (300),"14, Cité Mohamed Namous - Skikda",038 75 73 08,038 75 73 08,21,36.869478,6.90645
95,22-Sidi Bel-Abbès,Sidi Bel-Abbès,402,Oran (400),N°04 citè 108 Logements - Sidi Bel Abbes,048 74 62 72 / 048 74 62 70,048 74 62 71,22,35.1928653404851,-0.61769283937085
96,22-Sidi Bel-Abbès,Sidi Bel-Abbès,411,Oran (400),"N°18, Residence El Feth, 20 Août, 1° Etage - Sidi Bel Abbes",048 74 13 86 / 048 74 13 90 ,048 74 13 88,22,35.1890563030008,-0.636163406296157
97,22-Sidi Bel-Abbès,Sidi Bel-Abbès,786,Oran (400),"22, Rue Résidence- El Fateh - Sidi Bel Abbes",048 74 14 14 / 048 74 13 84,048 74 13 83,22,35.1888188937993,-0.636137107838354
98,23-Annaba,Annaba,301,Annaba (300),"18, Rue ATTIA Ahmed - Annaba",038 44 53 51 / 038 44 53 57 / 030 83 09 57,038 44 53 54 / 038 44 53 76,23,36.894745,7.754908
99,23-Annaba,Annaba,302,Annaba (300),"12, Place Salah Eddine El Ayoubi - Annaba                                                                                                                                              ",038 45 79 06,038 45 79 06,23,36.9013777,7.757899
100,23-Annaba,Annaba,323,Annaba (300),"Boulevard Seddik Benyahia, Plaine Ouest - Annaba",038 48 55 93 / 030 83 15 57,038 48 55 93,23,36.901577,7.737081
101,23-Annaba,Annaba,729,Annaba (300),"Cité les Santos, N° 03 Entrée 01, Local N° 03 - Annaba",038 45 21 27 / 038 45 25 25,038 45 21 24,23,36.9026594,7.7592489
102,23-Annaba,Annaba,757,Annaba (300),"Coopérative Menzel El Amel, cité 05 Juillet Bt. N° 05Rez de chaussée - Annaba",038 42 12 99,038 42 10 70,23,36.8905743,7.7165052
103,23-Annaba,Annaba,788,Annaba (300),"Coopérative Basma, Local N° 03, Route de Bouhdid - Annaba",038 41 08 66,038 41 08 66,23,36.892863,7.719582
104,23-Annaba,Annaba,737/01,Annaba (300),"Cité 1028 Logements, Plaine Ouest, Bt. N° 87 N° 124 - Annaba",038 41 95 65,038 41 95 65,23,36.8882378,7.7267324
105,24-Guelma,Guelma,321,Annaba (300),Rue Patrice Lumumba - Guelma,037 14 37 87,037 14 37 69,24,36.464423,7.43162
106,24-Guelma,Guelma,727,Annaba (300),"15, Rue SERIDI Mohamed Tahar - Guelma",037 27 46 32 / 037 26 74 15,037 26 74 14,24,36.464174,7.431038
107,25-Constantine,Constantine,502,Constantine (500),"Cité Boussouf, Bt. 7, locaux N° 157/158 - Constantine",031 60 27 22,031 60 20 52,25,36.331741,6.5813103
108,25-Constantine,Constantine,503,Constantine (500),"55, Avenue Aouati Mostefa - Constantine",031 91 10 10 / 031 92 94 90,031 92 94 91,25,36.35719,6.608236
109,25-Constantine,Hamma Bouziane,505,Constantine (500),"01, Boulevard de L'ALN , Hamma Bouziane - Constantine",031 84 06 71,031 84 06 71,25,36.41542,6.59729
110,25-Constantine,Daksi,512,Constantine (500),Arrondissement administratif Daksi - Constantine,031 63 80 74,031 61 11 75,25,36.3576944444444,6.63966666666667
111,25-Constantine,Ali Mendjli,515,Constantine (500),Unité de voisinage 07 Ali Mendjli - Constantine,031 74 80 20 / 031 74 82 28,031 74 80 12,25,36.2616759,6.5826338
112,25-Constantine,Aïn El Bey,721,Constantine (500),"Cité 564 Logements Tour 39 N° 01, Aïn El Bey - Constantine",031 69 00 41,031 69 00 40,25,36.299681,6.619157
113,25-Constantine,Constantine,761,Constantine (500),Cité Boussouf Bt. H N° 01 au RDC - Constantine,031 60 35 02/01,031 60 35 02,25,36.335236,6.576483
114,25-Constantine,El Khroub,763,Constantine (500),"12, Rue Izlioui Ali, El Khroub - Constantine",031 75 86 83,031 75 86 83,25,36.262107,6.69075
115,25-Constantine,Constantine,769,Constantine (500),Chalet des Pins N°160 - Constantine,031 62 71  23,031 62 71  23,25,36.3473556,6.642426
116,25-Constantine,Emir Abdelkader,784,Constantine (500),"01, Rue Chihabi Bachir, Cité Emir Abdelkader - Constantine",031 84 68 02,031 84 68 02,25,36.3742569,6.6234338
