num,name,address,lat,lon,code_wil
188,KHIARI ABDELMALEK,RUE DES FRERES DJARBOUA Blida,36.4735715,2.8323153,9
190,SOUALMI ABDERAHMAN,19 CTRE ZABANA RUE D Blida,36.4799716,2.8063907,9
191,ATMANI MUSTAPHA,27 RUE BELKACEM  LOUZERI Blida,36.4768074,2.8305802,9
192,ARACHE NOUREDDINE,17 AVE SI SMAIL OUA SOUIDANI BOUDJEMAA Boufarik,36.5709339,2.9112103,9
193,MEHAFDI ABDELAZIZ,CITE DES 128 LOGTS BT B4/4 Meftah,36.6223869,3.2261299,9
194,MIMOUN MOHAMED AMINE,CITE 20 LOGTS BT A 2 AISSAT IDIR Cheraga Rp,36.7567621,2.9545226,16
195,NASSRI MOHAND,2 CITE 150 LOGTS BT B22 Kolea,36.6381616,2.7669757,42
196,DJAAFOUR RACHID,CITE 18 LOGTS BT 1 2 Boghni,36.5329303,3.9611136,15
197,ZAAMOUM HOUCINE,RUE DES FRERES MAAMRI Boghni,36.5329303,3.9611136,15
198,GHIAR BOUSAAD,RUE DU 1ER NOVEMBRE BP 501 Ain El Hammam,36.5698193,4.3120324,15
200,OUANOUGHI SAID,RUE CHAFAI AHMED IMMEUBLE YAHYAOUIALI Tigzirt,36.7117061,4.0552492,15
201,ASSABAA ZIDANE,8 RUE 19 MAI 1956 Constantine,36.3681164,6.61228,25
202,BEN DAOUDIA DRISS,1 CITE 136 LOGTS BT I Chlef,36.1579664,1.3372823,2
203,TERBAK ABDELKADER,24 RUE EL KODS Tenes,36.503668,1.2857665,2
204,HADJ SADOUK MALIKA,RUE EMIR ABDELKADER Chlef,36.1579664,1.3372823,2
205,BOUTAKA AHMED,2 CITE MENTOURI BOSKI BT T4 Constantine Sidi Mabrouk,36.3593882,6.6389031,25
206,MAKHFI MOKHTAR,RUE LES FRERES BEN SOULTAN BP 137 Tenes,36.5081163,1.3078225,2
209,MEZIANE AMER,COOP EL HOURIA CITE BEN ADJAL Boudouaou,36.7204759,3.396615,35
210,TOUAM HASSEN,RUE BEN CHALAL SMAIL Constantine,36.3570052,6.6390282,25
211,HAMEL MOHAMED,CITE FILALI BATIMENT D 22 Constantine,36.3570052,6.6390282,25
212,AMAMRA BOUZID,CITE BOUSSOUF BT C8/94 Constantine,36.330062,6.577004,25
214,GHIMOUZ MESSAOUD,32 RUE TATACHE BELKACEM Constantine,36.3585703,6.63277,25
215,SAADEDDINE AHMED,CITE DU 8 MAI 45 Beni Slimane,36.2272319,3.3071806,26
217,TOUNSI YAHIA,R.N. 5 RUE COLONEL SI LAKHDER Bouira,36.5655989,3.593173,10
218,BOURAS RABEH,DAIRA DE TELAGHMA Oued Seguen,36.1787191,6.3889194,43
219,ABDELAOUI ZOULIKHA,CITE DES 120 LOGTS BT 1 APPT 3 Bouira,36.5389502,3.675159,10
220,KARI NAIMA,CITE DES 126 LOGTS BOUTERMAS MESSAOUD BT 1 1 ER ETAGE Bouira,36.3691846,3.9006194,10
221,KAOUANE MESSAOUD,6 CITE ARADH SALAH Ain Bessem,36.3337514,3.687402,10
222,BOUHLESSA AMAR,26 CITE OUSCOURT ABEDKRIM Chelghoum Laid,36.1591597,6.1727342,43
223,LABIOD MOHAMED,33 CITE OUSKOURT ABEDELKRIM Chelghoum Laid,36.1646701,6.1636356,43
225,BOUCHERMA DRISS,02 CITE DES 100 LOGTS BT 2 Zeghaia,36.4692715,6.1755208,43
226,DRIDI THEBET HABIBA,14 RUE SAIGHI Mila,36.4519049,6.2584338,43
227,BOUCHEMOUKHA AZEDDINE,IMMEUBLE SOUIDANI BOUDJEMAA Annaba Rp,36.900401,7.753418,23
228,TELILI MABROUK,14 AVENUE EMIR ABDELKADER Annaba Rp,36.8982602,7.7582576,23
229,DJEDI KHADIDJA,4 PLACE TAREK BEN ZIAD Annaba Rp,36.8999186,7.7594858,23
230,DERBALI AMAR,1 PLACE DE LA REVOLUTION Annaba Rp,36.9142081,7.7426673,23
231,DELMI HOURIA,23 COUR DE LA REVOLUTION Annaba Rp,36.8992246,7.7601246,23
232,TAOUTAOU MOULOUD,1 RUE ZIGHOUD YOUCEF Annaba,36.9142081,7.7426673,23
233,FILALI ABEDREZAK,1 RUE BOULHARTH SALEH Mila,36.4519049,6.2584338,43
234,CHERAOUNA NOUREDDINE,12 AVENUE ZABANE Constantine,36.3570052,6.6390282,25
235,KHALFA AMAR,CITE DES 500 LOGTS BT B 3 Ferdjioua,36.4051142,5.94196,43
236,SAHKI HOCINE,22 RUE MOHAMED KHEMISTI Annaba,36.8977204,7.758904,23
237,KERKOUB RACHID,6 PLACE TARIK IBN ZIAD Annaba Rp,36.9142081,7.7426673,23
238,SEBAB SIAB,CITE DE 18 LOGTS RTE NATIONALE 44 Ben M'hidi,36.7666372,7.9055824,36
239,ACHOURI RABEH,RUE HAMDI ABDELLAH MADJID El Tarf,36.7576678,8.3076343,36
240,BEN YAHIA RAMDHANE,62 AVENUE KADOUR BLIZIDIA Skikda,36.8662658,6.9062556,21
241,SEMOUMA YAZID,7 CITE DES ALLEES 20 AOUT 55 TOUR 27 Skikda,36.8646414,6.9137371,21
242,GUERIREM ABDELHAFIDH,4 RUE MOULOUD BOURAS Skikda,36.8789224,6.9060053,21
243,BOUMESSAD MOHAMED,32 RUE ABDELLAH BENGHERFE ALLAH Skikda,36.883152,6.9054596,21
244,BELHAMADI CHAABANE,909 CITE 1000 LOGTS BLOCS 88 El Khroub,36.2593314,6.7014537,25
245,BEN RADOUAN AISSA,CITE 24 LOGTS BT SONATIBA El Harrouch,36.6545563,6.8329628,21
246,BELGHAZI MOULOUD,AVENUE L'AKHELE TAHER EL KOL Skikda,36.8796509,6.9147479,21
247,OUADI ALI,CITE 1ER NOVEMBRE 28 LOGTS Azzaba,36.7411032,7.1116629,21
248,BELAATAR SAKINA,5 CITE EL MOUNAOUARAT BT 22 Guelma,36.4627444,7.4330833,24
249,KIRATI MOHAMED,BT SOUGUAN 2 Guelma,36.4627444,7.4330833,24
250,OURETH BOUGUERA,1 KAHDOUR TAHER BT 40 Guelma,36.4627444,7.4330833,24
251,KASMI RABII,CITE 130 LOGTS BT 13 Oued Zenati,36.3100347,7.1657362,24
