num,id,title,street,city,phone,lat,lon,code_wil
35,1692,13-01.20 - Agence TLEMCEN,Rue BOULVARD DERRAR ANBDERAHMANE KIFANE -TELEMCEN,Tlemcen,05 54 80 39 02 / 07 82 29 15 61,34.889277,-1.335138,13
36,1693,14-01.10 - Agence TIARET,Boulevard Maouf Ahmed D117 n°6 Tiaret,Tiaret,07 82 29 15 18 / 05 54 80 40 58,35.366873,1.317641,14
37,1589,15-01.10 - Agence LE DRUGSTORE," Centre Commercial ""Le Drugstore"" Tizi Ouzou",Tizi Ouzou,07 82 29 14 31 / 05 54 84 86 68,36.705504,4.056044,15
38,1583,15-01.20 - Agence CITE 05 JUILLET,Cité 5 juillet Bt 05 local 01 Tizi Ouzou,Tizi Ouzou,07 82 29 14 32 / 05 54 80 16 26,36.711821,4.051717,15
39,1585,15-01.30 - Agence NOUVELLE VILLE,"Rue des fréres OUDAHMANE, nouvelle ville Tizi Ouzou",Tizi Ouzou,07 82 29 14 33 / 05 54 80 21 01,36.707375,4.043373,15
40,1584,15-34.10 - Agence BOUZEGUENE,Centre de Bouzeguene Tizi Ouzou,Bouzeguene,07 82 29 14 65 / 05 54 83 16 98,36.61413,4.472591,15
41,1587,15-38.10 - Agence TIGZIRT,"04, Rue Ghers Bousbene Tigzirt",Tigzirt,07 82 29 14 74 / 05 54 80 28 53,36.890586,4.126784,15
42,1582,15-40.10 - Agence BOUGHNI,Rue des fréres BENAKLI 15003 cne BOGHNI,Boghni,07 82 29 14 34 / 05 54 80 41 06,36.541055,3.955875,15
43,1569,15.1.Achabni,Immeuble Ait Ali locale n° 3 Tikobiene  ouaguenoune . Tizi Ouzou,Ouaguenoune,07 82 29 15 33,36.770094,4.175088,15
44,1570,15.3.A.CHABNI,N°7 1er étage bouhamdoune maatkas w Tiziouzou,Meatka,07 82 29 15 33,36.619436,3.957237,15
45,1571,15.5.ACHABNI,"Zone industrielle AISSET Idir,Taadja immeuble YEFSAF lot 95 local n°13CNE Tizi Rached ",Tizi Rached,07 82 29 15 33,36.692784,4.137303,15
46,1572,15.6.A.CHABNI,B7 Route Nationnale N°15 Larabaa Nathirathen W-Tiziouzou,Larabaa Natherathen,07 82 29 15 33,36.617812,4.315422,15
47,1568,15.A.Chabni,"9, Avenue Abane Ramdane - Tizi Ouzou - W.Tizi Ouzou",Tizi Ouzou,07 82 29 15 33,36.712903,4.048736,15
48,1573,15.A.MESSAOUDENE,Route de Aïn El Hammam - Azazga - W.Tizi Ouzou,Azazga,07 82 29 15 46,36.558442,4.274197,15
49,1567,15.B.AITIDDIR,Freha centre sur ancienne route d'AZAZGA Tizi Ouzou,Freha,07 82 29 14 35,36.734386,4.366791,15
50,1578,15.M.AMMAD,"Arkoub Nath Kaci Village Timizart loghbar, N°05 commune Ait Aissa Mimoune. Tizi ouzou",Ait Aissa Mimoune,05 57 92 35 53,36.725451,4.087435,15
51,1562,16-09.10 - Agence LES SOURCES,KADAT LES SOURCES BIRMOURAD RAIS,Les Sources, 07 82 29 14 62 / 05 54 80 30 91,36.735349,3.050374,16
