num,name,address,tel,fax,website,lon,lat,acronym,code_wil
44,Direction des Services Agricole Mila ,RUE BEN KERBA LAKHEDAR 43000 MILA,031 48 02 33/34,031 48 02 35,,6.266537,36.449476,DSA Mila ,43
45,Direction des Services Agricole Ain Defla,BOULEVARD 19 MARS  AIN DEFLA,027 50 45 32/027 50 45 33/39,027 50 45 34,,1.956543,36.26068,DSA Ain Defla,44
46,Direction des Services Agricole Naâma ,CITE 164 LOGTS 45000 NAAMA,049 59 52 94,049 59 53 27,,-0.311129,33.266959,DSA Naâma ,45
47,Direction des Services Agricole Ain témouchent,HAI ZEITOUN 46000 AIN TEMOUCHENT,043 77 97 96 /043 77 98 01,043 77 97 99,,-1.146897,35.30731,DSA Ain témouchent,46
48,Direction des Services Agricole Ghardaia,40 RUE EMIR ABDELKADER,029 28 50 99,029 29 54 11,,3.675671,32.486046,DSA Ghardaia,47
49,Direction des Services Agricole Rélizane,Cité des 24 Logts Dallas Tob Relizane,046 71 63 88,046 71 63 79,,0.561703,35.73353,DSA Rélizane,48
50,Conservation des Forêts ADRAR,CITE OULED OUNGAL A ADRAR (ANCIEN SIEGE DE LA WILAYA) BP 389,049 36 12 32 ,049 36 12 34,,-0.287901,27.899426,CF ADRAR,1
51,Conservation des Forêts CHLEF,RUE EMIR ABDELKADER BP 232,027 77 10 46 / 027 77 18 08,027 77 16 16,,1.336333,36.163843,CF CHLEF,2
52,Conservation des Forêts LAGHOUAT,CITE ADMINISTRATIVE EL M'HAFIR  LAGHOUAT,029 14 54 00 ,029 14 54 01,,2.853161,33.794214,CF LAGHOUAT,3
53,Conservation des Forêts OUM EL BOUAGHI,CITE 18 FEVRIER BP N°41  OUM EL BOUAGHI 04000,032 56 36 14,032 54 57 17,,7.113224,35.87018,CF OUM EL BOUAGHI,4
