,name,address,phone_number,category,organization,lat,lon,commune_name,wilaya_name,type_name,type_id,code_wil
101,Marché Couvert,Lotissement Amyoud,,pv,CNA,36.71332,4.04586,TIZI OUZOU,TIZI OUZOU,Fruits et légumes,2,15
102,Marché Chabane,Tizi-Ouzou,,pv,CNA,36.70955,4.07028,TIZI OUZOU,TIZI OUZOU,Fruits et légumes,2,15
103,Marché Tala-Athmane,Tala-Athmane,,pv,CNA,36.7297,4.14854,TIZI OUZOU,TIZI OUZOU,Fruits et légumes,2,15
104,Djemaa-Saharidj,Mekla ,,pv,CNA,36.68875,4.289,MEKLA,TIZI OUZOU,Fruits et légumes,2,15
105,Chaieb,Mekla ,,pv,CNA,36.70553,4.23911,MEKLA,TIZI OUZOU,Fruits et légumes,2,15
106,El-Kahra,Freha,,pv,CNA,36.72986,4.26697,FREHA,TIZI OUZOU,Fruits et légumes,2,15
107,Ait-Mehend,Freha,,pv,CNA,36.73027,4.26427,FREHA,TIZI OUZOU,Fruits et légumes,2,15
108,Souk El Had,Timizart,,pv,CNA,36.79338,4.2465,TIMIZART,TIZI OUZOU,Fruits et légumes,2,15
109,Agouni Oucharki,Aghribs,,pv,CNA,36.80888,4.31814,AGHRIB,TIZI OUZOU,Fruits et légumes,2,15
110,Marché  centre,Azzefoun,,pv,CNA,36.88976,4.42096,AZZEFOUN,TIZI OUZOU,Fruits et légumes,2,15
111,Marché couvert centre,Azazga Centre,,pv,CNA,36.7491,4.36567,AZAZGA,TIZI OUZOU,Fruits et légumes,2,15
112,Marché centre,Yakouren Centre,,pv,CNA,36.73662,4.43854,YAKOUREN,TIZI OUZOU,Fruits et légumes,2,15
113,Marché,Tizagharine,,pv,CNA,36.59676,4.00878,SOUK EL TENINE,TIZI OUZOU,Fruits et légumes,2,15
114,Marché,Azemour Oumeriem,,pv,CNA,36.67663,3.95852,TIRMITINE,TIZI OUZOU,Fruits et légumes,2,15
115,Marché,Alma centre,,pv,CNA,36.63412,4.04229,BENI ZMENZER,TIZI OUZOU,Fruits et légumes,2,15
116,Marché centre,Chef Lieu Maatkas,,pv,CNA,36.60416,3.98446,MAATKA,TIZI OUZOU,Fruits et légumes,2,15
117,Marché centre,Chef lieu Ouacifs,,pv,CNA,36.52641,4.20813,OUACIF,TIZI OUZOU,Fruits et légumes,2,15
118,EX SEMPAC,Larbaa-Nath-Irathen,,pv,CNA,36.64272,4.19965,LARBA NAIT IRATHEN,TIZI OUZOU,Fruits et légumes,2,15
119,Souk Thimamarth,Ait-Aggouacha Centre,,pv,CNA,36.61744,4.2341,AIT AGGOUACHA,TIZI OUZOU,Fruits et légumes,2,15
120,Marché,Taourirt Mimoun,,pv,CNA,36.58315,4.1946,BENI YENNI,TIZI OUZOU,Fruits et légumes,2,15
121,Souk El Had,Yatafene centre,,pv,CNA,36.52818,4.27919,YATAFENE,TIZI OUZOU,Fruits et légumes,2,15
122,Tassafet,Tassafet,,pv,CNA,36.50205,4.25042,IBOUDRAREN,TIZI OUZOU,Fruits et légumes,2,15
